school_name,team_id,logo_url,local_path,filename
Nebraska-Omaha,97,https://s3.amazonaws.com/cstest/teams/97.gif.220x220_q95.png,school_logos/Nebraska-Omaha_97.png,Nebraska-Omaha_97.png
UNLV,440,https://s3.amazonaws.com/cstest/mb/2018/08/fc9460e9-ad68-4a.jpeg.220x220_q95.jpg,school_logos/UNLV_440.jpg,UNLV_440.jpg
North Carolina,60,https://s3.amazonaws.com/cstest/teams/60/north-carolina-chapel-hill-university-of-logo.gif.220x220_q95.jpg,school_logos/North_Carolina_60.jpg,North_Carolina_60.jpg
UNC-Wilmington,395,https://s3.amazonaws.com/cstest/teams/395/north-carolina-wilmington-university-of-logo.jpg.220x220_q95.jpg,school_logos/UNC-Wilmington_395.jpg,UNC-Wilmington_395.jpg
Notre Dame,53,https://s3.amazonaws.com/cstest/teams/53/notre-dame-university-of-logo.png.220x220_q95.jpg,school_logos/Notre_Dame_53.png,Notre_Dame_53.png
Penn,416,https://s3.amazonaws.com/cstest/teams/416.gif.220x220_q95.png,school_logos/Penn_416.png,Penn_416.png
Pittsburgh,405,https://s3.amazonaws.com/cstest/mb/2025/05/fb992292-8278-45bf-b516-a5b42d159751.jpg.220x220_q95.jpg,school_logos/Pittsburgh_405.jpg,Pittsburgh_405.jpg
St Thomas (MN),469,https://s3.amazonaws.com/cstest/mb/2022/03/8c1fd0b7-9daa-4784-bbe7-a95f369a49ab.jpg.220x220_q95.jpg,school_logos/St_Thomas_MN_469.jpg,St_Thomas_MN_469.jpg
South Carolina,95,https://s3.amazonaws.com/cstest/teams/USC_logo.jpg.220x220_q95.jpg,school_logos/South_Carolina_95.jpg,South_Carolina_95.jpg
South Dakota,83,https://s3.amazonaws.com/cstest/teams/83/south-dakota-university-of-logo.png.220x220_q95.jpg,school_logos/South_Dakota_83.png,South_Dakota_83.png
USC,102,https://s3.amazonaws.com/cstest/teams/southern_cal.gif.220x220_q95.jpg,school_logos/USC_102.jpg,USC_102.jpg
Southern Indiana,10028295,https://s3.amazonaws.com/cstest/mb/2023/05/12da5635-4891-464c-9daf-393c1fd9c7da.jpg.220x220_q95.jpg,school_logos/Southern_Indiana_10028295.jpg,Southern_Indiana_10028295.jpg
Tennessee,44,https://s3.amazonaws.com/cstest/mb/2017/10/e4d7cf8f-7081-47.png.220x220_q95.png,school_logos/Tennessee_44.png,Tennessee_44.png
Texas,105,https://s3.amazonaws.com/cstest/mb/2025/10/Texas_Longhorns_logo.svg.png.220x220_q95.png,school_logos/Texas_105.png,Texas_105.png
Pacific,413,https://s3.amazonaws.com/cstest/mb/2020/04/22d7fafd-5ce1-4b.jpeg.220x220_q95.jpg,school_logos/Pacific_413.jpg,Pacific_413.jpg
Utah,330,https://s3.amazonaws.com/cstest/mb/2025/02/1169f174-c617-44d2-86b4-9266995df982.jpg.220x220_q95.jpg,school_logos/Utah_330.jpg,Utah_330.jpg
Virginia,73,https://s3.amazonaws.com/cstest/mb/2019/10/6bc20225-870c-40.png.220x220_q95.png,school_logos/Virginia_73.png,Virginia_73.png
UW-Green Bay,368,https://s3.amazonaws.com/cstest/mb/2018/11/e03e924a-f0d0-42.jpeg.220x220_q95.jpg,school_logos/UW-Green_Bay_368.jpg,UW-Green_Bay_368.jpg
Wisconsin,98,https://s3.amazonaws.com/cstest/mb/2016/08/Red-W-White-Outline-RGB.png.220x220_q95.png,school_logos/Wisconsin_98.png,Wisconsin_98.png
Milwaukee,369,https://s3.amazonaws.com/cstest/mb/2016/02/university-of-wisconsin-milwaukee-logo.png.220x220_q95.png,school_logos/Milwaukee_369.png,Milwaukee_369.png
Wyoming,374,https://s3.amazonaws.com/cstest/teams/374.gif.220x220_q95.png,school_logos/Wyoming_374.png,Wyoming_374.png
Valparaiso,332,https://s3.amazonaws.com/cstest/mb/2021/11/238ea3b6-b2a8-4ed5-becb-83f8534efdd0.jpg.220x220_q95.jpg,school_logos/Valparaiso_332.jpg,Valparaiso_332.jpg
Villanova,32,https://s3.amazonaws.com/cstest/teams/32.gif.220x220_q95.png,school_logos/Villanova_32.png,Villanova_32.png
Virginia Military Institute,335,https://s3.amazonaws.com/cstest/mb/2018/05/c051ad53-eeb6-47.jpeg.220x220_q95.jpg,school_logos/Virginia_Military_Institute_335.jpg,Virginia_Military_Institute_335.jpg
Virginia Tech,336,https://s3.amazonaws.com/cstest/teams/80-virginiatech.gif.220x220_q95.jpg,school_logos/Virginia_Tech_336.jpg,Virginia_Tech_336.jpg
Wagner,296,https://s3.amazonaws.com/cstest/teams/296.gif.220x220_q95.png,school_logos/Wagner_296.png,Wagner_296.png
West Virginia,294,https://s3.amazonaws.com/cstest/teams/west_virginia.gif.220x220_q95.jpg,school_logos/West_Virginia_294.jpg,West_Virginia_294.jpg
William & Mary,350,https://s3.amazonaws.com/cstest/mb/2018/07/2a9607fb-6afd-4f.jpeg.220x220_q95.jpg,school_logos/William_Mary_350.jpg,William_Mary_350.jpg
Xavier,375,https://s3.amazonaws.com/cstest/teams/375.gif.220x220_q95.png,school_logos/Xavier_375.png,Xavier_375.png
Yale,376,https://s3.amazonaws.com/cstest/mb/2019/06/4f144a05-f9ca-4e.png.220x220_q95.png,school_logos/Yale_376.png,Yale_376.png
Youngstown State,378,https://s3.amazonaws.com/cstest/mb/2017/02/Y_red_white_black.jpg.220x220_q95.jpg,school_logos/Youngstown_State_378.jpg,Youngstown_State_378.jpg
Adams State,627,https://s3.amazonaws.com/cstest/mb/2016/11/Adams_State_Grizzlies_logo.png.220x220_q95.png,school_logos/Adams_State_627.png,Adams_State_627.png
Adelphi,442,https://s3.amazonaws.com/cstest/mb/2017/09/7c1ce4b9-78f2-47.jpeg.220x220_q95.jpg,school_logos/Adelphi_442.jpg,Adelphi_442.jpg
Ashland,217,https://s3.amazonaws.com/cstest/teams/ashland_logo.jpg.220x220_q95.jpg,school_logos/Ashland_217.jpg,Ashland_217.jpg
Assumption,564,https://s3.amazonaws.com/cstest/mb/2019/04/fd1f9cb8-8771-4c.jpeg.220x220_q95.jpg,school_logos/Assumption_564.jpg,Assumption_564.jpg
Augustana (SD),10007690,https://s3.amazonaws.com/cstest/mb/2024/09/bdb7508b-f5f6-465f-b86f-f8370d1315f8.jpg.220x220_q95.jpg,school_logos/Augustana_SD_10007690.jpg,Augustana_SD_10007690.jpg
Barry,10034633,https://s3.amazonaws.com/cstest/mb/2022/11/Barry.png.220x220_q95.png,school_logos/Barry_10034633.png,Barry_10034633.png
Barton,10008686,https://s3.amazonaws.com/cstest/teams/Barton.jpg.220x220_q95.jpg,school_logos/Barton_10008686.jpg,Barton_10008686.jpg
